Model,F1 Score,Precision,Recall,AUC Score
GBM,0.7387352921302904,0.9838040754588955,0.7281700026330532,0.6759952759884089
Deep Learning,0.7662106784318446,0.9267489806700677,0.7447449160571441,0.6611479499756592
XGBoost,0.6600280166280574,0.7047667794353247,0.7312004530011325,0.5473422715357734
