Model,F1 Score,Precision,Recall,AUC Score
GBM,0.7284706965627562,0.9874599461673628,0.7226935078006457,0.6903680024717357
Deep Learning,0.7180022370137817,0.995540417177498,0.7173291044787228,0.6769308335147749
XGBoost,0.6653096002117962,0.7092983500892115,0.7334654586636467,0.5523840160451485
