Model,F1 Score,Precision,Recall,AUC Score
GBM,0.7368699813152678,0.9829205973919817,0.7272684420894501,0.6918287015983052
Deep Learning,0.7391973973166253,0.9984542183393693,0.7285024344132163,0.6780014935377457
XGBoost,0.6743201692727949,0.7139549166882692,0.7360251940164211,0.5627273603891964
